title,score,date,airline,source
"""Thanks for an average flight""",2,2023-12-01,LUFTHANSA,SKYTRAX
"""dump the small bottle of water and biscuit""",2,2023-12-01,LUFTHANSA,SKYTRAX
"""ruined our holiday""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""crew were very nice""",5,2023-12-01,LUFTHANSA,SKYTRAX
Lufthansa customer review,1.5,2023-12-01,LUFTHANSA,SKYTRAX
“disgusting treatment of clients”,0.5,2023-12-01,LUFTHANSA,SKYTRAX
"""lack of customer service""",0.5,2023-12-01,LUFTHANSA,SKYTRAX
"""would like to commend the crew""",5,2023-12-01,LUFTHANSA,SKYTRAX
“customer service was beyond useless”,0.5,2023-11-01,LUFTHANSA,SKYTRAX
“never received the refund they promised”,0.5,2023-08-01,LUFTHANSA,SKYTRAX
“Both legs simply fantastic”,4.5,2023-12-01,LUFTHANSA,SKYTRAX
“Lufthansa is reliable & punctual”,5,2023-12-01,LUFTHANSA,SKYTRAX
"""no luggage had been loaded""",1,2023-12-01,LUFTHANSA,SKYTRAX
“Flight delayed 4 times”,2,2023-12-01,LUFTHANSA,SKYTRAX
"""baggage policies are ridiculous""",0.5,2023-12-01,LUFTHANSA,SKYTRAX
"""such a bad experience""",0.5,2023-12-01,LUFTHANSA,SKYTRAX
"""flight got canceled 4 times""",0.5,2023-12-01,LUFTHANSA,SKYTRAX
"""not give me a refund for the $120""",1.5,2023-08-01,LUFTHANSA,SKYTRAX
“very poor management”,0.5,2023-11-01,LUFTHANSA,SKYTRAX
"""changed the type of plane""",0.5,2023-11-01,LUFTHANSA,SKYTRAX
"""I will avoid Lufthansa in future""",1,2023-10-01,LUFTHANSA,SKYTRAX
“premium prices and a low cost experience”,2.5,2023-11-01,LUFTHANSA,SKYTRAX
“Excellent crew”,4,2023-11-01,LUFTHANSA,SKYTRAX
“the experience is budget”,2,2023-11-01,LUFTHANSA,SKYTRAX
“bad communication between 2 airlines”,1,2023-11-01,LUFTHANSA,SKYTRAX
"""comfort level was appalling""",1,2023-10-01,LUFTHANSA,SKYTRAX
"""The worst onboard service""",0.5,2023-11-01,LUFTHANSA,SKYTRAX
"""only had 3 Japanese meal choices""",1,2023-11-01,LUFTHANSA,SKYTRAX
“Used to be a truly premium experience”,0.5,2023-11-01,LUFTHANSA,SKYTRAX
"""such a low service""",0.5,2023-11-01,LUFTHANSA,SKYTRAX
"""Good service throughout""",5,2023-10-01,LUFTHANSA,SKYTRAX
"""service has deteriorated lately""",0.5,2023-10-01,LUFTHANSA,SKYTRAX
"""farce of Priority boarding""",0.5,2023-10-01,LUFTHANSA,SKYTRAX
"""no customer service at all""",1,2023-08-01,LUFTHANSA,SKYTRAX
"""luggage delayed so often""",0.5,2023-10-01,LUFTHANSA,SKYTRAX
"""will be the last airline I would choose""",1.5,2023-10-01,LUFTHANSA,SKYTRAX
"""5 hours waiting in Munich""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""coach seating with the middle seat empty""",1.5,2023-10-01,LUFTHANSA,SKYTRAX
"""Constant cancellations""",0.5,2023-10-01,LUFTHANSA,SKYTRAX
"""Very disappointed in the service""",0.5,2023-10-01,LUFTHANSA,SKYTRAX
"""really satisfied with choosing Lufthansa""",5,2023-10-01,LUFTHANSA,SKYTRAX
"""haven't gotten any notice of a refund""",1.5,2023-08-01,LUFTHANSA,SKYTRAX
"""tiny overhead bins""",1.5,2023-10-01,LUFTHANSA,SKYTRAX
"""utterly incompetent customer service""",0.5,2023-09-01,LUFTHANSA,SKYTRAX
"""our luggage is not there""",0.5,2023-10-01,LUFTHANSA,SKYTRAX
"""very much grateful to their service""",4.5,2023-09-01,LUFTHANSA,SKYTRAX
"""they cancelled our original flight""",0.5,2023-10-01,LUFTHANSA,SKYTRAX
"""impossible to contact the airline""",1,2023-08-01,LUFTHANSA,SKYTRAX
"""ignoring my requests for assistance""",0.5,2023-09-01,LUFTHANSA,SKYTRAX
"""Very limited space""",1.5,2023-10-01,LUFTHANSA,SKYTRAX
"""they cancelled my flight""",0.5,2023-09-01,LUFTHANSA,SKYTRAX
"""food was pretty darn good""",4.5,2023-08-01,LUFTHANSA,SKYTRAX
"""refuses to give me a refund""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""Worst airline and not flying again""",1,2023-09-01,LUFTHANSA,SKYTRAX
"""I will never choose this airline again""",1,2023-09-01,LUFTHANSA,SKYTRAX
"""3 flights were delayed""",3,2023-09-01,LUFTHANSA,SKYTRAX
"""Overall a good experience""",3,2023-09-01,LUFTHANSA,SKYTRAX
"""Very poor customer service""",1,2022-07-01,LUFTHANSA,SKYTRAX
"""Onboard experience was fine""",3.5,2023-08-01,LUFTHANSA,SKYTRAX
“Interior design looks poor”,2.5,2023-09-01,LUFTHANSA,SKYTRAX
"""there is just not enough space""",0.5,2023-09-01,LUFTHANSA,SKYTRAX
"""Please consider retraining your staff""",0.5,2023-09-01,LUFTHANSA,SKYTRAX
"""they could have send another plane""",0.5,2023-09-01,LUFTHANSA,SKYTRAX
"""food was absolutely disgraceful""",0.5,2023-05-01,LUFTHANSA,SKYTRAX
"""don’t recommend Lufthansa for long flights""",1.5,2023-09-01,LUFTHANSA,SKYTRAX
"""good food and lovely crew""",3.5,2023-09-01,LUFTHANSA,SKYTRAX
"""disaster and expect better""",1,2023-09-01,LUFTHANSA,SKYTRAX
"""aircraft was very old, outdated""",1,2023-08-01,LUFTHANSA,SKYTRAX
"""impossible to get an answer from them""",0.5,2023-08-01,LUFTHANSA,SKYTRAX
"""infotainment didn't work""",1,2023-09-01,LUFTHANSA,SKYTRAX
